id,label,degree,degree_centrality_x,betweenness_centrality_x,community,degree_centrality_y,betweenness_centrality_y,eigenvector_centrality
Rich Kahn,Rich Kahn,17,0.0152740341419586,6.514340087833284e-05,0,0.015274034141958671,6.514340087833284e-05,0.02351645094680558
Reid Weingarten,Reid Weingarten,64,0.0575022461814914,0.0013885512691117,2,0.05750224618149147,0.0013885512691117789,0.056335852155233505
Bill Gates,Bill Gates,37,0.0332434860736747,8.160587433018544e-05,4,0.033243486073674756,8.160587433018544e-05,0.05198813450674364
Bill Joy,Bill Joy,34,0.0305480682839173,0.0,4,0.030548068283917342,0.0,0.05100468506572411
Charles Simonyi,Charles Simonyi,34,0.0305480682839173,0.0,4,0.030548068283917342,0.0,0.05100468506572411
Craig Venter,Craig Venter,34,0.0305480682839173,0.0,4,0.030548068283917342,0.0,0.05100468506572411
Danny Hillis,Danny Hillis,34,0.0305480682839173,0.0,4,0.030548068283917342,0.0,0.05100468506572411
Dean Kamen,Dean Kamen,34,0.0305480682839173,0.0,4,0.030548068283917342,0.0,0.05100468506572411
Elon Musk,Elon Musk,34,0.0305480682839173,0.0,4,0.030548068283917342,0.0,0.05100468506572411
Eric Schmidt,Eric Schmidt,34,0.0305480682839173,0.0,4,0.030548068283917342,0.0,0.05100468506572411
