id,label,degree,degree_centrality,betweenness_centrality,community
Cecilia Schött,Cecilia Schött,3,0.0026954177897574125,0.0,16
Dave Hope,Dave Hope,2,0.0017969451931716084,0.0,3
Dou Hope,Dou Hope,2,0.0017969451931716084,0.0,3
Warren Eisenstein,Warren Eisenstein,14,0.012578616352201259,0.0034937009960764524,3
Esneh,Esneh,2,0.0017969451931716084,0.0,0
Sultan Bin Sulayerr,Sultan Bin Sulayerr,2,0.0017969451931716084,0.0,0
Craig Jacoby,Craig Jacoby,10,0.008984725965858042,0.0,0
Dave Morin,Dave Morin,10,0.008984725965858042,0.0,0
Drew Houston,Drew Houston,10,0.008984725965858042,0.0,0
Eike,Eike,10,0.008984725965858042,0.0,0
Hosain Rahman,Hosain Rahman,10,0.008984725965858042,0.0,0
Ian Osborne,Ian Osborne,12,0.01078167115902965,1.3008461155603816e-05,0
Marissa,Marissa,10,0.008984725965858042,0.0,0
Peter Thiel,Peter Thiel,14,0.012578616352201259,3.378506282382641e-05,0
Reid Hoffman,Reid Hoffman,11,0.009883198562443846,9.076296913951317e-06,0
Francis Derby,Francis Derby,8,0.0071877807726864335,0.0,1
Januiz Banasiak,Januiz Banasiak,9,0.008086253369272238,2.0199473844105308e-07,1
Louella Rabuyo,Louella Rabuyo,9,0.008086253369272238,2.0199473844105308e-07,1
Richard Barnnet,Richard Barnnet,9,0.008086253369272238,2.0199473844105308e-07,1
Francis,Francis,8,0.0071877807726864335,0.0,1
Auren Hoffman,Auren Hoffman,6,0.005390835579514825,2.154610543371233e-06,0
Chamath Palihapitiya,Chamath Palihapitiya,4,0.0035938903863432167,0.0,0
Fouad,Fouad,4,0.0035938903863432167,0.0,0
Lisa Randall,Lisa Randall,4,0.0035938903863432167,0.0,0
Jan Loeys,Jan Loeys,5,0.004492362982929021,0.0,21
John Normand,John Normand,5,0.004492362982929021,0.0,21
Leo Evans,Leo Evans,5,0.004492362982929021,0.0,21
Matthew Lehmann,Matthew Lehmann,5,0.004492362982929021,0.0,21
Nikolaos Panigirtzoglou,Nikolaos Panigirtzoglou,5,0.004492362982929021,0.0,21
Seamus Mac Gorain,Seamus Mac Gorain,5,0.004492362982929021,0.0,21
Gwendolyn,Gwendolyn,1,0.0008984725965858042,0.0,0
Mohamed Waheed Hassan,Mohamed Waheed Hassan,2,0.0017969451931716084,0.0,0
Mohamed Waheed,Mohamed Waheed,2,0.0017969451931716084,0.0,0
Nadia,Nadia,1,0.0008984725965858042,0.0,0
Charlotte Abrams,Charlotte Abrams,2,0.0017969451931716084,0.0,0
Jamie Glazov,Jamie Glazov,3,0.0026954177897574125,0.0008718092911115851,0
Larry Summers,Larry Summers,62,0.055705300988319856,0.0036087160011502397,0
Larry Summers_______________________,Larry Summers_______________________,1,0.0008984725965858042,0.0,0
Aaron David Miller,Aaron David Miller,23,0.020664869721473494,0.0,11
Benjamin Netanyahu,Benjamin Netanyahu,23,0.020664869721473494,0.0,11
Chuck Hagel,Chuck Hagel,23,0.020664869721473494,0.0,11
Daniel Gavron,Daniel Gavron,23,0.020664869721473494,0.0,11
Dennis Ross,Dennis Ross,23,0.020664869721473494,0.0,11
Dov Seidman,Dov Seidman,23,0.020664869721473494,0.0,11
Elliott Abrams,Elliott Abrams,23,0.020664869721473494,0.0,11
Gurcharan Das,Gurcharan Das,23,0.020664869721473494,0.0,11
Isaac Molho,Isaac Molho,23,0.020664869721473494,0.0,11
James Baker,James Baker,23,0.020664869721473494,0.0,11
Jeremy Ben-Ami,Jeremy Ben-Ami,23,0.020664869721473494,0.0,11
John F. Kerry,John F. Kerry,23,0.020664869721473494,0.0,11
Mahmoud Abbas,Mahmoud Abbas,23,0.020664869721473494,0.0,11
President Barack Obama,President Barack Obama,23,0.020664869721473494,0.0,11
Richard L. Russell,Richard L. Russell,23,0.020664869721473494,0.0,11
Robert B. Zoellick,Robert B. Zoellick,23,0.020664869721473494,0.0,11
Robert Dreyfuss,Robert Dreyfuss,23,0.020664869721473494,0.0,11
Saeb Erekat,Saeb Erekat,23,0.020664869721473494,0.0,11
Scott Wilson,Scott Wilson,23,0.020664869721473494,0.0,11
Shashi Tharoor,Shashi Tharoor,23,0.020664869721473494,0.0,11
Thomas L. Friedman,Thomas L. Friedman,23,0.020664869721473494,0.0,11
Yasir Arafat,Yasir Arafat,23,0.020664869721473494,0.0,11
Peggy,Peggy,2,0.0017969451931716084,0.0,1
Peggy SiegalliM1111.1.1,Peggy SiegalliM1111.1.1,1,0.0008984725965858042,0.0,1
Skip Rimer,Skip Rimer,1,0.0008984725965858042,0.0,0
Blanche Christerson,Blanche Christerson,2,0.0017969451931716084,0.0,23
Paul Morris,Paul Morris,5,0.004492362982929021,2.4239368612926367e-06,23
Shaher,Shaher,1,0.0008984725965858042,0.0,0
Darren Rigger,Darren Rigger,5,0.004492362982929021,0.0,1
Lisa Rossi,Lisa Rossi,5,0.004492362982929021,0.0,1
Michael Scotto,Michael Scotto,5,0.004492362982929021,0.0,1
Walter Swett,Walter Swett,5,0.004492362982929021,0.0,1
Debbie Fein,Debbie Fein,10,0.008984725965858042,2.9164192712060614e-06,0
Tonja Haddad Coleman,Tonja Haddad Coleman,14,0.012578616352201259,0.0014652514293052995,0
Glen Miller,Glen Miller,7,0.006289308176100629,6.463831630113699e-07,13
Lawrence Richman,Lawrence Richman,5,0.004492362982929021,0.0,13
Marshall E. Eisenberg,Marshall E. Eisenberg,7,0.006289308176100629,6.463831630113699e-07,13
Monice M. Kaczorowski,Monice M. Kaczorowski,7,0.006289308176100629,6.463831630113699e-07,13
Emily Heil,Emily Heil,6,0.005390835579514825,0.0,13
Lawrence I. Richman,Lawrence I. Richman,6,0.005390835579514825,0.0,13
Alex Gray,Alex Gray,7,0.006289308176100629,2.693263179214041e-07,20
Belle Cheves,Belle Cheves,7,0.006289308176100629,2.693263179214041e-07,20
Fabrice Aidan,Fabrice Aidan,7,0.006289308176100629,2.693263179214041e-07,20
Melissa Mahle,Melissa Mahle,6,0.005390835579514825,0.0,20
Stephen A. Seche,Stephen A. Seche,7,0.006289308176100629,2.693263179214041e-07,20
Timothy Dixon,Timothy Dixon,7,0.006289308176100629,2.693263179214041e-07,20
Mahle Melissa,Mahle Melissa,6,0.005390835579514825,0.0,20
Bob,Bob,12,0.01078167115902965,0.0,3
Bridges Hague,Bridges Hague,12,0.01078167115902965,0.0,3
Ed Hammer,Ed Hammer,12,0.01078167115902965,0.0,3
Janet Kafka,Janet Kafka,60,0.05390835579514825,0.005968064721627899,3
Jeffery Edwards,Jeffery Edwards,14,0.012578616352201259,0.0034937009960764524,3
Joe Nordgaardly Kafka,Joe Nordgaardly Kafka,12,0.01078167115902965,0.0,3
Joel Dunn,Joel Dunn,44,0.039532794249775384,0.005570664761990936,3
John Stepek,John Stepek,12,0.01078167115902965,0.0,3
Mark Albert,Mark Albert,12,0.01078167115902965,0.0,3
Mark L. Epstein,Mark L. Epstein,17,0.015274034141958671,0.005382809655240768,3
Nicholas Gahhos,Nicholas Gahhos,12,0.01078167115902965,0.0,3
Terry Kafka,Terry Kafka,60,0.05390835579514825,0.005978164458549952,3
John Pinette,John Pinette,3,0.0026954177897574125,0.0,4
Ehud Barak,Ehud Barak,4,0.0035938903863432167,2.4239368612926367e-06,0
Laurie Cameron,Laurie Cameron,1,0.0008984725965858042,0.0,0
ehud barak,ehud barak,2,0.0017969451931716084,0.0,0
FT Breaking News,FT Breaking News,2,0.0017969451931716084,0.0,0
Lisa New,Lisa New,7,0.006289308176100629,9.965073763091952e-06,0
Liz Hartley,Liz Hartley,10,0.008984725965858042,2.9164192712060614e-06,0
Nick Py111.11M,Nick Py111.11M,6,0.005390835579514825,0.0,0
Sharon Churcher,Sharon Churcher,10,0.008984725965858042,2.9164192712060614e-06,0
Nick Pyke,Nick Pyke,9,0.008086253369272238,1.7313834723518836e-06,0
Fred Haddad,Fred Haddad,9,0.008086253369272238,1.7313834723518836e-06,0
Darren Indyk,Darren Indyk,8,0.0071877807726864335,0.0,0
Torla Haddad Coleman,Torla Haddad Coleman,8,0.0071877807726864335,0.0,0
Olivier COLOM,Olivier COLOM,1,0.0008984725965858042,0.0,0
Vinit Sahni,Vinit Sahni,4,0.0035938903863432167,0.0,23
Brad Bowen,Brad Bowen,20,0.017969451931716084,3.102639182454575e-05,3
Fred Simon,Fred Simon,6,0.005390835579514825,0.0,3
Michael S. Buchholtz,Michael S. Buchholtz,6,0.005390835579514825,0.0,3
Ralph Simon,Ralph Simon,6,0.005390835579514825,0.0,3
Steven Sinofsk,Steven Sinofsk,1,0.0008984725965858042,0.0,0
Andrew Farkas,Andrew Farkas,7,0.006289308176100629,5.117200040506677e-06,0
Andrew Friendly,Andrew Friendly,7,0.006289308176100629,1.2119684306463184e-06,0
Cecile,Cecile,6,0.005390835579514825,0.0,0
Jermain,Jermain,6,0.005390835579514825,0.0,0
Kelly Friendly,Kelly Friendly,10,0.008984725965858042,1.9153589976177193e-05,0
Bryan Subotnick,Bryan Subotnick,2,0.0017969451931716084,0.0,29
Stuart Subotnick,Stuart Subotnick,2,0.0017969451931716084,0.0,29
Tyler Shears,Tyler Shears,4,0.0035938903863432167,6.463831630113699e-07,0
Melanie SpineIla,Melanie SpineIla,6,0.005390835579514825,4.309221086742466e-06,1
Nay Gupta,Nay Gupta,4,0.0035938903863432167,0.0,23
Tazia Smith,Tazia Smith,4,0.0035938903863432167,0.0,23
Bella Klein,Bella Klein,6,0.005390835579514825,0.0,1
Ed Boyden,Ed Boyden,6,0.005390835579514825,0.0,1
Jojo Fontanilla,Jojo Fontanilla,6,0.005390835579514825,0.0,1
Lyn Fontanilla,Lyn Fontanilla,6,0.005390835579514825,0.0,1
Neil Gershenfeld,Neil Gershenfeld,6,0.005390835579514825,0.0,1
Google Alerts,Google Alerts,6,0.005390835579514825,2.7968673967524165e-05,0
soon yi previ,soon yi previ,1,0.0008984725965858042,0.0,0
Mariana Idikowska,Mariana Idikowska,1,0.0008984725965858042,0.0,0
Donald Trump,Donald Trump,27,0.02425876010781671,2.772592021947257e-05,0
Gi Feather,Gi Feather,4,0.0035938903863432167,0.0,0
Lesley,Lesley,4,0.0035938903863432167,0.0,0
Joi Ito,Joi Ito,7,0.006289308176100629,9.426421127249144e-06,0
Guy Amico,Guy Amico,7,0.006289308176100629,1.2119684306463184e-06,0
JR Stambaugh,JR Stambaugh,6,0.005390835579514825,0.0,0
Larry Visoski,Larry Visoski,38,0.034141958670260555,0.0003657978211489039,0
Lvje,Lvje,6,0.005390835579514825,0.0,0
Lvjet,Lvjet,8,0.0071877807726864335,3.9052316098603586e-06,0
Scott Stambaugh,Scott Stambaugh,6,0.005390835579514825,0.0,0
Scott Stambau JR Stambaugh,Scott Stambau JR Stambaugh,4,0.0035938903863432167,0.0,0
Kathy Ruemmler,Kathy Ruemmler,125,0.11230907457322552,0.0074705035411824355,0
Michael Wolff,Michael Wolff,22,0.019766397124887692,0.00018955850826742258,0
Lawrence Summers,Lawrence Summers,5,0.004492362982929021,6.7331579480351016e-06,0
